Species,Group,TL (m),Mc (kg),logMC,0.45,0.61,0.68,0.75,MR,log of MR,Calc MR,Calc value
Balaenoptera_huge,Rorqual,33,246000,5.390935107,15.00251859,13.86067639,12.35222799,9.807367669,0.68,1.091745299,,
Balaenoptera_giganto,Rorqual,41,417255.326,5.620401889,4.673527496,4.559504078,4.379269809,3.98912526,0.68,0.641401703,,
Phocoena_phocaena,Odontocete,1.4,33,1.51851394,8.567906033,5.301322013,4.252105635,3.394082107,0.68,0.628604045,0.68,0.700089844
Grampus_greiseus,Odontocete,3,350,2.544068044,22.57853646,9.465952297,6.378914879,4.277043903,0.68,0.804746807,0.68,0.486261813
Mesoplodon_densirostris,Odontocete,4.1,860,2.934498451,3.372862695,1.164536989,0.728180272,0.454738447,0.68,-0.137761091,0.68,0.404857073
Globicephala_macrorhynchus,Odontocete,4.3,980,2.991226076,4.960580729,2.650441527,1.850826353,1.243338117,0.68,0.267365675,0.68,0.393029363
Globicephala_melas,Odontocete,5,1200,3.079181246,15.00394606,5.811904821,3.654533161,2.293860151,0.68,0.562831907,0.68,0.37469071
Orcinus_orca,Odontocete,6,3000,3.477121255,10.54799306,7.431432923,5.684073811,4.026059476,0.68,0.754659709,0.68,0.291720218
Berardius_bairdii,Odontocete,10.5,11900,4.075546961,4.272548747,0.833642262,0.736199448,0.393866239,0.68,-0.133004512,0.68,0.166948459
Physeter_macrocephalus,Odontocete,12.3,19300,4.285557309,9.043113744,1.45274102,1.558211678,0.833642262,0.68,0.192626455,0.68,0.123161301
Balaena_mysticetus,Balaenid,11.7,22600,4.354108439,2.421560918,1.938743646,1.517576561,1.034442397,0.68,0.18115061,0.68,0.10886839
Eubalaena_glacialis,Balaenid,11.6,34100,4.532754379,2.824019204,2.197841002,1.679489823,1.114418271,0.68,0.225177377,0.68,0.071620712
Diorocetus_shobarensis,Rorqual,4.6,1034,3.014520539,18.17732814,14.335433,11.97447054,9.445610757,0.75,0.975230045,,
Megaptera_hubachi,Rorqual,5.6,2007,3.302547372,22.10609011,17.21516206,14.09977117,10.77830277,0.75,1.032550379,,
Balaenoptera_bertae,Rorqual,6.4,3056,3.48515335,25.72736382,20.23892542,16.55704806,12.55236492,0.75,1.098725556,,
Balaenoptera_bonarensis,Rorqual,7.8,6700,3.826074803,24.94150572,18.9880312,14.94496183,10.7077069,0.75,1.029696475,,
Megaptera_novaeangliae,Rorqual,14,36000,4.556302501,79.31776483,48.54612218,32.26613002,19.1291349,0.75,1.28169533,,
Balaenoptera_physalus,Rorqual,20.2,53000,4.72427587,72.72556702,53.81676609,39.69497704,25.49044826,0.75,1.406377473,,
