Order,Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,MR exponent,Total_Energy_in (J),Feeding_E_out (J),DiveSurf_E_out (J),Total_E_out (J),,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,2680,35.7,4.58,12274,38.81,0.45,48922153,1161538,98951,1260489,,,,,
Mysticeti,Balaenopteridae,Balaenoptera,bonarensis,7.8,7000,5773,7.4,4.58,26439,83.60,0.45,105378318,1161538,98951,1260489,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,0.0,3.07,3869,3.81,0.45,6181326,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,1.3,3.07,8412,8.28,0.45,13437666,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,6.3,3.07,18085,17.81,0.45,28890981,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,12.5,3.07,39031,38.44,0.45,62350768,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,19.0,3.07,84118,82.85,0.45,134376655,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,27.1,3.07,181190,178.45,0.45,289447315,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,25.7,3.07,390476,384.57,0.45,623776433,1455106,166888,1621994,,,,,
Mysticeti,Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,8.2,3.07,841180,828.47,0.45,1343766550,1455106,166888,1621994,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,915,36.0,1.67,1531.7,0.83,0.75,42329471,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,456,0.4,1.67,763.2,0.42,0.75,21090734,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,944,0.4,1.67,1579.9,0.86,0.75,43661519,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,661,31.1,1.67,1106.8,0.60,0.75,30586394,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,480,0.4,1.67,803.3,0.44,0.75,22200773,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,19,1.1,2.31,43.9,0.02,0.75,1212944,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,89,0.1,3.08,274.5,0.15,0.75,7584879,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,123,0.3,4.53,555.4,0.30,0.75,15348947,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,191,21.3,3.78,723.7,0.39,0.75,19999165,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,152,0.2,2.65,401.9,0.22,0.75,11108172,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,14516,0.0,2.65,38468.0,6.96,0.75,1063102736,103767511,48920352,152687863,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,118,0.5,4.01,473.5,0.26,0.75,13086736,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,38,0.1,2.31,88.6,0.05,0.75,2447743,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,41,1.8,1.82,74.2,0.04,0.75,2051710,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,107,6.1,1.69,180.4,0.10,0.75,4986724,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,267,0.1,2.31,617.0,0.34,0.75,17051704,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,280,0.1,3.42,959.3,0.52,0.75,26510220,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,552,0.0,2.88,1588.8,0.86,0.75,43908990,1856190,48920352,50776542,,,,,
Odontoceti,Ziphiidae,Berardius,bairdii,10.5,11900,6800,0.0,2.88,19584.0,3.54,0.75,541223424,103767511,48920352,152687863,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,50,10.0,4.01,200.5,0.76,0.75,1266518,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,150,17.3,4.01,601.5,2.29,0.75,3799555,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,250,12.0,4.01,1002.5,3.82,0.75,6332592,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,350,7.3,4.01,1403.5,5.35,0.75,8865629,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,450,13.3,4.01,1804.5,6.88,0.75,11398666,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,550,13.3,4.01,2205.5,8.41,0.75,13931702,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,650,10.0,4.01,2606.5,9.94,0.75,16464739,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,750,4.7,4.01,3007.5,11.47,0.75,18997776,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,850,4.7,4.01,3408.5,13.00,0.75,21530813,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,950,4.7,4.01,3809.5,14.53,0.75,24063850,64883,1591519,1656402,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,1050,2.0,4.01,4210.5,13.46,0.75,26596886,384994,1591519,1976513,,,,,
Odontoceti,Delphinidae,Globicephala,melas,5,1200,1150,0.7,4.01,4611.5,14.74,0.75,29129923,384994,1591519,1976513,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,50,10.0,4.01,200.5,0.41,0.75,791574,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,150,17.3,4.01,601.5,1.24,0.75,2374722,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,250,12.0,4.01,1002.5,2.07,0.75,3957870,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,350,7.3,4.01,1403.5,2.90,0.75,5541018,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,450,13.3,4.01,1804.5,3.73,0.75,7124166,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,550,13.3,4.01,2205.5,4.56,0.75,8707314,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,650,10.0,4.01,2606.5,5.39,0.75,10290462,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,750,4.7,4.01,3007.5,6.22,0.75,11873610,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,850,4.7,4.01,3408.5,7.05,0.75,13456758,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,950,4.7,4.01,3809.5,7.87,0.75,15039906,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,1050,2.0,4.01,4210.5,8.70,0.75,16623054,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Globicephala,macrorhynchus,4.3,980,1150,0.7,4.01,4611.5,9.53,0.75,18206202,271526,1638431,1909957,,,,,
Odontoceti,Delphinidae,Grampus,griseus,3,350,164,9.1,2.31,379.0,5.86,0.75,1197062,4410,200001,204411,,,,,
Odontoceti,Delphinidae,Grampus,griseus,3,350,24,3.6,2.65,63.7,0.98,0.75,201337,4410,200001,204411,,,,,
Odontoceti,Delphinidae,Grampus,griseus,3,350,104,78.2,2.65,276.8,4.28,0.75,874276,4410,200001,204411,,,,,
