ID,Grouping,Group,Species,TADL (min),O2 store,Prey W (g),Prey E  (kJ),logPreyE,E feeding (kJ),logE feeding,Eff_max,logEff_max),TL (m),Mc (kg),# dives,MXD (m),Depth (m),DT_max (min),DT_max-TADL,DT_max-TADL+25,log of that,DT_med (min),BTM_max (min),BTM_med (min),BTM_max/DT,BTM_med/DT,FE_max,FE_med,FE/DT max,FE/DT med,ST_max (min),ST_med (min),log FE max
ba-130215,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,53,104.95,37.45,7.39,-5.21,19.79,1.30,3.01,6.47,2.03,0.89,0.71,20,9,5.42,3.00,89.41,1.51,1.30
bb180227-45,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,211,70.07,20.95,10.47,-2.13,22.87,1.36,1.35,5.86,0.76,0.77,0.43,9,2,3.16,1.55,35.72,0.87,0.95
bb180228-42,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,113,103.52,24.15,5.55,-7.05,17.95,1.25,1.49,2.76,0.77,0.80,0.54,8,3,4.35,2.29,93.70,0.99,0.90
bb180304-40,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,158,175.66,71.32,11.12,-1.48,23.52,1.37,3.81,4.80,1.80,0.78,0.54,10,4,4.47,1.35,122.49,1.58,1.00
bb180304-42,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,12,187.30,148.66,7.48,-5.12,19.88,1.30,5.46,3.92,2.28,0.66,0.42,9,5.5,1.53,1.03,10.02,4.96,0.95
bb180304-45,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,96,237.97,183.00,14.63,2.03,27.03,1.43,6.24,6.38,3.57,0.86,0.58,23,9,3.22,1.44,11.31,3.35,1.36
bb180305-42b,Balaenopteridae,Rorqual,Balaenoptera_bonaerensis,12.6,291,268,1227,3.09,306.09,2.49,1.882482286,0.27,7.8,6700,40,204.18,35.03,8.09,-4.51,20.49,1.31,4.36,4.55,2.53,0.88,0.61,15,7,3.70,1.64,206.32,3.74,1.18
bp10_236a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,1,193.26,193.26,8.57,-14.43,10.57,1.02,8.57,4.39,4.39,0.51,0.51,8,8,0.93,0.93,17.27,17.27,0.90
bp10_236b,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,2,169.45,112.77,6.67,-16.33,8.67,0.94,5.73,3.50,2.75,0.53,0.47,6,4.5,0.90,0.76,4.26,2.92,0.78
bp10_239a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,18,200.18,147.52,9.13,-13.87,11.13,1.05,7.48,5.41,3.47,0.67,0.44,6,3.5,0.83,0.49,4.09,3.40,0.78
bp10_244a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,8,290.98,282.40,11.98,-11.02,13.98,1.15,10.69,7.67,5.80,0.64,0.55,9,8,0.84,0.73,9.91,4.48,0.95
bp10_245a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,8,219.62,28.90,10.88,-12.12,12.88,1.11,1.64,5.75,1.42,0.53,0.31,6,1,1.16,0.72,9.20,0.17,0.78
bp12_217a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,41,279.36,230.04,9.82,-13.18,11.82,1.07,8.44,6.32,4.74,0.69,0.54,9,6,0.96,0.76,12.31,5.32,0.95
bp13_193a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,6,320.78,301.91,10.10,-12.90,12.10,1.08,9.20,6.17,4.89,0.61,0.52,9,7,0.89,0.74,26.51,9.26,0.95
bp13_216a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,11,284.39,249.44,11.56,-11.44,13.56,1.13,10.24,7.08,5.86,0.61,0.56,8,7,0.78,0.66,12.38,4.85,0.90
bp13_258b,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,1,22.10,22.10,3.00,-20.00,5.00,0.70,3.00,,,,,1,1,0.33,0.33,4.87,4.87,0.00
bp13_265a,Balaenopteridae,Rorqual,Balaenoptera_physalus,23,2495,129240,379966,5.58,2832.20,3.45,57.15705965,1.76,20.2,53000,19,118.07,99.40,8.24,-14.76,10.24,1.01,6.56,6.13,3.99,0.75,0.61,9,5,1.09,0.82,10.08,3.22,0.95
