Family,Genus,Species,TL (m),M (kg),Prey W (g),Percent,Energy (kJ/g),Energy (kJ),E_divesurf_med,E_divesurf_max,MR exponent,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,123,0.3,4.53,555,0.30,0.29,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,191,21.3,3.78,724,0.39,0.38,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,152,0.2,2.65,402,0.22,0.21,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,14516,0.0,2.65,38468,6.96,6.87,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,118,0.5,4.01,474,0.26,0.25,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,38,0.1,2.31,89,0.05,0.05,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,41,1.8,1.82,74,0.04,0.04,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,107,6.1,1.69,180,0.10,0.09,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,267,0.1,2.31,617,0.34,0.32,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,280,0.1,3.42,959,0.52,0.50,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,552,0.0,2.88,1589,0.86,0.83,0.61,,,,,,,,,,,,,
Ziphiidae,Berardius,bairdii,10.5,11900,6800,0.0,2.88,19584,3.54,3.50,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,50,10.0,4.01,201,1.94,1.07,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,150,17.3,4.01,602,5.81,3.21,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,250,12.0,4.01,1003,9.69,5.35,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,350,7.3,4.01,1404,13.56,7.49,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,450,13.3,4.01,1805,17.44,9.63,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,550,13.3,4.01,2206,21.31,11.76,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,650,10.0,4.01,2607,25.18,13.90,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,750,4.7,4.01,3008,29.06,16.04,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,850,4.7,4.01,3409,32.93,18.18,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,950,4.7,4.01,3810,36.81,20.32,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,1050,2.0,4.01,4211,27.30,17.67,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,melas,5,1200,1150,0.7,4.01,4612,29.90,19.36,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,50,10.0,4.01,201,0.88,0.95,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,150,17.3,4.01,602,2.65,2.85,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,250,12.0,4.01,1003,4.42,4.75,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,350,7.3,4.01,1404,6.18,6.65,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,450,13.3,4.01,1805,7.95,8.55,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,550,13.3,4.01,2206,9.72,10.45,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,650,10.0,4.01,2607,11.49,12.34,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,750,4.7,4.01,3008,13.25,14.24,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,850,4.7,4.01,3409,15.02,16.14,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,950,4.7,4.01,3810,16.79,18.04,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,1050,2.0,4.01,4211,18.55,19.94,0.61,,,,,,,,,,,,,
Delphinidae,Globicephala,macrorhynchus,4.3,980,1150,0.7,4.01,4612,20.32,21.84,0.61,,,,,,,,,,,,,
Delphinidae,Grampus,griseus,3,350,164,9.1,2.31,379,12.96,8.63,0.61,,,,,,,,,,,,,
Delphinidae,Grampus,griseus,3,350,24,3.6,2.65,64,2.18,1.45,0.61,,,,,,,,,,,,,
Delphinidae,Grampus,griseus,3,350,104,78.2,2.65,277,9.47,6.30,0.61,,,,,,,,,,,,,
Delphinidae,Grampus,griseus,3,350,160,7.3,4.01,640,21.88,14.56,0.61,,,,,,,,,,,,,
Delphinidae,Grampus,griseus,3,350,35,1.8,2.65,92,3.15,2.10,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,1260,2.6,2.94,3706,2.23,2.57,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,2740,8.9,2.94,8056,4.85,5.61,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,5891,13.6,2.94,17320,10.44,12.06,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,12714,18.8,2.94,37378,22.53,26.02,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,27400,22.3,2.94,80556,48.55,56.08,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,59020,20.3,2.94,173518,104.57,120.80,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,127191,11.2,2.94,373941,225.35,260.34,0.61,,,,,,,,,,,,,
Balaenopteridae,Megaptera,novaeangliae,12.7,28000,274000,2.2,2.94,805560,485.46,560.83,0.61,,,,,,,,,,,,,
Ziphiidae,Mesoplodon,densirostris,4.1,860,122,42.9,1.69,207,1.16,0.95,0.61,,,,,,,,,,,,,
Ziphiidae,Mesoplodon,densirostris,4.1,860,57,42.9,2.65,151,0.85,0.70,0.61,,,,,,,,,,,,,
Ziphiidae,Mesoplodon,densirostris,4.1,860,248,14.3,3.08,763,4.30,3.51,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,275,1.9,5.63,1548,0.98,1.12,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,284,0.5,4.58,1303,0.78,0.88,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,426,2.0,4.57,1945,1.16,1.32,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,567,12.5,4.57,2588,1.55,1.75,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,708,20.0,4.56,3230,1.93,2.19,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,775,4.7,5.74,4445,2.65,3.01,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,849,12.5,4.56,3872,2.31,2.62,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,990,2.0,4.56,4515,2.70,3.05,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,1132,0.5,4.56,5157,3.08,3.49,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,2125,21.7,5.86,12445,7.43,8.42,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,3325,18.9,5.98,19893,11.88,13.46,0.61,,,,,,,,,,,,,
Delphinidae,Orcinus,orca,6,3000,3425,2.9,6.24,21385,12.77,14.47,0.61,,,,,,,,,,,,,
Phocoenidae,Phocoaena,Phocaena,1.4,33,2,78.0,4.42,11,5.30,4.92,0.61,,,,,,,,,,,,,
Phocoenidae,Phocoaena,Phocaena,1.4,33,5,13.8,4.79,23,10.61,9.89,0.61,,,,,,,,,,,,,
Phocoenidae,Phocoaena,Phocaena,1.4,33,19,4.9,5.55,103,42.10,39.61,0.61,,,,,,,,,,,,,
Phocoenidae,Phocoaena,Phocaena,1.4,33,73,2.4,6.30,462,166.32,157.55,0.61,,,,,,,,,,,,,
Phocoenidae,Phocoaena,Phocaena,1.4,33,289,0.8,7.06,2037,655.55,624.48,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,24000,0.3,2.65,63600,6.30,13.68,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,8000,4.9,4.01,32080,17.59,20.44,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,2000,0.6,4.01,8020,4.40,5.11,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,1700,2.1,3.78,6426,3.52,4.09,0.61,,,,,,,,,,,,,
Physeteridae,Physter,macrocephalus,12.3,19300,1000,0.4,2.31,2310,1.27,1.47,0.61,,,,,,,,,,,,,
